nome_estado;municipio;posicao_ebt;nota;dt_inicio_avaliacao;dt_fim_avaliacao;total_pontos;;;;
Santa Catarina;Apiúna;1;10;29/01/2015;12/03/2015;3600;;;;
São Paulo;São Paulo;1;10;01/04/2015;24/04/2015;3600;;;;
Paraíba;Nazarezinho;3;9.58;19/01/2015;17/03/2015;3450;;;;
Santa Catarina;Correia Pinto;4;9.44;05/02/2015;12/03/2015;3400;;;;
Santa Catarina;Frei Rogério;4;9.44;05/02/2015;12/03/2015;3400;;;;
Paraná;Curitiba;6;9.31;01/04/2015;24/04/2015;3350;;;;
Santa Catarina;Imbuia;7;9.17;06/02/2015;16/03/2015;3300;;;;
Distrito Federal;Brasília;8;8.89;31/03/2015;23/04/2015;3200;;;;
Pernambuco;Recife;9;8.75;01/04/2015;27/04/2015;3150;;;;
Ceará;Fortaleza;10;8.61;31/03/2015;23/04/2015;3100;;;;
Paraíba;São José do Sabugi;11;8.47;22/01/2015;17/03/2015;3050;;;;
Paraíba;João Pessoa;11;8.47;01/04/2015;24/04/2015;3050;;;;
Santa Catarina;Florianópolis;11;8.47;01/04/2015;24/04/2015;3050;;;;
Paraíba;Taperoá;14;8.33;22/01/2015;17/03/2015;3000;;;;
Santa Catarina;Monte Carlo;15;8.19;02/02/2015;16/03/2015;2950;;;;
Santa Catarina;Bombinhas;15;8.19;29/01/2015;12/03/2015;2950;;;;
Rio Grande do Sul;São Paulo das Missões;15;8.19;13/01/2015;17/03/2015;2950;;;;
Rio Grande do Sul;Porto Alegre;18;7.92;31/03/2015;23/04/2015;2850;;;;
Minas Gerais;Belo Horizonte;18;7.92;31/03/2015;23/04/2015;2850;;;;
Goiás;Goiânia;20;7.78;01/04/2015;24/04/2015;2800;;;;
Acre;Rio Branco;20;7.78;31/03/2015;24/04/2015;2800;;;;
Pernambuco;Sairé;22;7.64;21/01/2015;17/03/2015;2750;;;;
Rio Grande do Norte;Natal;22;7.64;01/04/2015;24/04/2015;2750;;;;
Rio Grande do Sul;Camargo;22;7.64;05/02/2015;17/03/2015;2750;;;;
Rio Grande do Sul;Imigrante;25;7.36;21/01/2015;17/03/2015;2650;;;;
